differential_level,Amplitude,Mean,Std Dev
0.81960785,77.0000001,-8.52E-09,1.04E-08
0.82352942,64.00000005,-5.79E-09,9.58E-09
0.82745099,78.00000007,-7.57E-09,8.19E-09
0.83137256,60.99999985,-5.55E-09,1.05E-08
0.83529413,64,-1.69E-10,2.34E-10
0.8392157,67.00000001,-7.51E-09,1.19E-08
0.84313726,62,-1.77E-10,2.27E-10
0.84705883,71.99999998,-8.04E-09,1.12E-08
0.8509804,78.00000018,-7.57E-09,8.19E-09
0.85490197,70.00000003,-6.32E-09,8.33E-09
0.85882354,76.99999986,-7.25E-09,7.81E-09
0.86274511,60,-1.74E-10,2.33E-10
0.86666667,59.99999988,-5.44E-09,1.08E-08
0.87058824,61.99999998,-6.74E-09,1.26E-08
0.87450981,64.9999998,-5.66E-09,8.95E-09
0.87843138,75.99999997,-6.95E-09,7.56E-09
0.88235295,59,-1.69E-10,2.31E-10
0.88627452,63.99999986,-5.20E-09,8.63E-09
0.89019608,67.99999992,-6.63E-09,9.69E-09
0.89411765,68.99999994,-6.57E-09,9.14E-09
0.89803922,77.99999985,-7.68E-09,8.33E-09
0.90196079,57.99999985,-5.92E-09,1.28E-08
0.90588236,70.99999992,-6.72E-09,8.78E-09
0.90980393,65.99999999,-6.58E-09,1.04E-08
0.9137255,73.00000005,-7.66E-09,9.89E-09
0.91764706,59.99999988,-6.82E-09,1.38E-08
0.92156863,63,-1.64E-10,2.34E-10
0.9254902,75.00000026,-7.81E-09,9.63E-09
0.92941177,65.99999996,-6.82E-09,1.09E-08
0.93333334,61.00000003,-6.05E-09,1.15E-08
0.93725491,70.00000005,-7.07E-09,9.76E-09
0.94117647,63.00000018,-5.16E-09,8.88E-09
0.94509804,82.00000005,-8.40E-09,8.72E-09
0.94901961,63.99999996,-5.64E-09,9.39E-09
0.95294118,69.00000008,-6.70E-09,9.39E-09
0.95686275,74.99999997,-8.15E-09,1.03E-08
0.96078432,54.10086272,-8.21E-09,1.00E-08
0.96470588,68.00000014,-6.90E-09,1.02E-08
0.96862745,58.00000003,-4.69E-09,1.03E-08
0.97254902,73.00000006,-6.64E-09,7.92E-09
0.97647059,77.00000003,-8.28E-09,9.94E-09
0.98039216,63.99999985,-5.64E-09,9.36E-09
0.98431373,67.9999999,-7.23E-09,1.10E-08
0.98823529,60.99999996,-5.38E-09,1.02E-08
0.99215686,68.99999999,-7.53E-09,1.11E-08
0.99607843,71.99999995,-6.41E-09,7.83E-09
1,70.00000014,-6.82E-09,9.31E-09
