group_index,differential_level,amplitude,mean,std_dev
1,0.62745094,56.47164392680157,1.39809301405466e-06,2.551662347789921e-08
1,0.63137257,59.94686760043448,1.26454089639778e-06,2.329603583863195e-08
1,0.63529408,60.96721121553544,1.134073403363068e-06,2.150079621036827e-08
1,0.63921571,63.60368259483361,1.008747855741984e-06,1.98398637304527e-08
1,0.64313722,69.88089146674312,8.877446091110829e-07,1.74217698964572e-08
1,0.64705884,74.74404789662462,7.723295948616974e-07,1.494841618442796e-08
1,0.65098035,77.86310676484325,6.629484280938303e-07,1.365475615756474e-08
1,0.65490198,77.61403919685023,5.610182932098178e-07,1.238168269163081e-08
1,0.65882349,83.79703167339916,4.66553452213985e-07,1.050431061440504e-08
1,0.66274512,88.10582675707198,3.803455082917649e-07,9.201430988466938e-09
1,0.66666663,99.65879604249722,3.036582183319906e-07,6.39639071431597e-09
1,0.67058825,98.03832461839376,2.352876913019078e-07,6.554406110141436e-09
1,0.67450976,106.4771230797889,1.767919345169026e-07,5.957412301932702e-09
1,0.67843139,59.34553540903587,1.269415112184004e-07,9.911200616621769e-09
1,0.6823529,51.59877316188559,8.77625035926319e-08,8.411730523645072e-09
1,0.68627453,75.03850106699934,6.317166279669018e-08,4.637932093785834e-09
1,0.69019604,141,3.674576357141e-08,4.947981159964795e-09
1,0.69411767,156,2.0789190287075e-08,3.177889161292973e-09
1,0.69803917,138,1.02870444697935e-08,1.783793434802689e-09
1,0.7019608,92,3.770772669536251e-09,7.995972657625818e-10
1,0.70588231,77,-6.025011923273549e-11,2.528288468831798e-10
1,0.70980394,53.83140011824005,-9.659001628748232e-09,1.206588583010095e-08
1,0.71372545,64.00000006117138,-6.152544466151242e-09,1.011906295564863e-08
1,0.71764708,77.00000004538565,-6.860703680019274e-09,7.04192500133546e-09
1,0.72156858,71.00000008947167,-7.939480905713817e-09,1.117552168695963e-08
1,0.72549021,64,-2.230669663397405e-10,2.371429227734101e-10
1,0.72941172,71.00000011670416,-7.055085418877525e-09,9.313452880921484e-09
1,0.73333335,73.99999992277921,-8.531079300415626e-09,1.157831713941353e-08
1,0.73725486,58.00000011823995,-4.326964686363752e-09,9.644155335481856e-09
1,0.74117649,73.99999999767044,-7.347774488510268e-09,8.888505613783705e-09
1,0.74509799,66.99999996354252,-6.219284637368316e-09,9.158557129867964e-09
1,0.74901962,62.00000004981843,-6.134189105047672e-09,1.118446932802533e-08
1,0.75294113,70.00000018732331,-6.904230522675639e-09,9.461975338603136e-09
1,0.75686276,65,-1.690180380089453e-10,2.332604131703983e-10
1,0.76078427,64.00000017851558,-5.99470453948106e-09,9.965382416760481e-09
1,0.7647059,72.00000011557825,-6.793214268381895e-09,8.475504681354194e-09
1,0.76862741,65.0000000760932,-6.539707670105468e-09,1.066031005632357e-08
1,0.77254903,73.00000017215295,-6.73212833486436e-09,8.130571486167864e-09
1,0.77647054,58.00000000060992,-5.044107197229897e-09,1.09999355586587e-08
1,0.78039217,63.00000003959104,-7.105008725306635e-09,1.283233900407019e-08
1,0.78431368,70.0000000608651,-7.487344064664571e-09,1.05619551525914e-08
1,0.78823531,69.00000005940404,-6.921512174084872e-09,9.867724658446318e-09
1,0.79215682,64.00000006739523,-6.414852441112266e-09,1.091435160061144e-08
1,0.79607844,59.00000006961186,-4.978786233301384e-09,1.035585121417933e-08
1,0.79999995,75.0000000667786,-8.296183401478419e-09,1.060609608390901e-08
1,0.80392158,71.99999995133417,-5.712290431741084e-09,6.679975592818868e-09
1,0.80784309,69.99999997894803,-6.924292205554858e-09,9.491045206534829e-09
1,0.81176472,61.9999998455539,-4.639180491063647e-09,8.490500640221921e-09
1,0.81568629,61.99999947563116,-4.753935400269586e-09,8.630495154133989e-09
1,0.81960785,77.00000009702774,-8.52298010188194e-09,1.044844627149995e-08
1,0.82352942,64.00000005464868,-5.78836261198143e-09,9.584052984718995e-09
1,0.82745099,78.00000007326217,-7.57334402794611e-09,8.189361351072984e-09
1,0.83137256,60.99999985363561,-5.54611444591222e-09,1.053426836010059e-08
1,0.83529413,64,-1.688902742526345e-10,2.340489811476798e-10
1,0.8392157,67.00000001485549,-7.507129654404204e-09,1.186882986754437e-08
1,0.84313726,62,-1.771980169457163e-10,2.268847570001699e-10
1,0.84705883,71.99999998181798,-8.037963215456373e-09,1.118809106869083e-08
1,0.8509804,78.00000018006071,-7.566822698664238e-09,8.187635360700081e-09
1,0.85490197,70.0000000342814,-6.324436714596791e-09,8.329614247786128e-09
1,0.85882354,76.99999985784957,-7.250228767518877e-09,7.809749500943857e-09
1,0.86274511,60,-1.739186253508132e-10,2.333559885505569e-10
1,0.86666667,59.99999987965583,-5.437356532849009e-09,1.079093984497562e-08
1,0.87058824,61.99999997834731,-6.737874489786974e-09,1.259075816807292e-08
1,0.87450981,64.99999980120882,-5.655077676305167e-09,8.952699161006278e-09
1,0.87843138,75.99999996700704,-6.950781374491065e-09,7.560323292260768e-09
1,0.88235295,59,-1.68947901470924e-10,2.309509753516671e-10
1,0.88627452,63.99999986148935,-5.204327671699312e-09,8.630556800055581e-09
1,0.89019608,67.99999991754925,-6.628980103618815e-09,9.686429155215265e-09
1,0.89411765,68.99999994058989,-6.566682503213265e-09,9.142130301329597e-09
1,0.89803922,77.99999984799462,-7.683943265389931e-09,8.332353553107538e-09
1,0.90196079,57.99999985350162,-5.918156614273125e-09,1.283315197177674e-08
1,0.90588236,70.99999992327484,-6.718536581708568e-09,8.777799738356444e-09
1,0.90980393,65.99999998577522,-6.580619871391866e-09,1.038291060569333e-08
1,0.9137255,73.00000004933142,-7.657937715257452e-09,9.893286186875089e-09
1,0.91764706,59.99999987651843,-6.821423004725529e-09,1.377505186979547e-08
1,0.92156863,63,-1.636950101805838e-10,2.337648259040161e-10
1,0.9254902,75.00000025862569,-7.81400632722782e-09,9.633748720917478e-09
1,0.92941177,65.99999996092558,-6.822679327355829e-09,1.09275325484796e-08
1,0.93333334,61.00000002960154,-6.053510232001991e-09,1.153623100834543e-08
1,0.93725491,70.00000005230959,-7.072042382788218e-09,9.759109904424245e-09
1,0.94117647,63.00000017842542,-5.155879790219017e-09,8.884942035267545e-09
1,0.94509804,82.00000005382502,-8.396597405363783e-09,8.720386144635444e-09
1,0.94901961,63.99999996370479,-5.644963281032802e-09,9.392356577789261e-09
1,0.95294118,69.00000008252358,-6.700216080432564e-09,9.393028075372473e-09
1,0.95686275,74.99999997030268,-8.145487272484756e-09,1.02660999856745e-08
1,0.96078432,54.10086271858459,-8.205864996595696e-09,1.001948677150297e-08
1,0.96470588,68.00000013896833,-6.903626468999908e-09,1.02441069602083e-08
1,0.96862745,58.0000000279874,-4.690915433380695e-09,1.034880983021814e-08
1,0.97254902,73.00000005681875,-6.642741122162755e-09,7.924219241484128e-09
1,0.97647059,77.00000002673272,-8.275025210436277e-09,9.937969226758564e-09
1,0.98039216,63.99999985398739,-5.644623600068149e-09,9.363393284927747e-09
1,0.98431373,67.99999990322266,-7.233387734197031e-09,1.096234499366697e-08
1,0.98823529,60.9999999584147,-5.382389590632819e-09,1.019711065215042e-08
1,0.99215686,68.99999999066203,-7.53386555674014e-09,1.109014400679053e-08
1,0.99607843,71.9999999527253,-6.414203560655148e-09,7.825570275765653e-09
1,1,70.00000014201916,-6.823337093207049e-09,9.305553708894854e-09
2,0,61,-8.464288472016323e-10,1.398517219258423e-09
2,0.0039215689,64.99999980814518,-5.463172789114804e-09,8.603163290456768e-09
2,0.0078431377,83.99999998484091,-8.474122394352967e-09,8.3371261366583e-09
2,0.011764707,59,-1.44462757418444e-10,2.207403075707264e-10
2,0.015686275,68.0000001894222,-7.021689208850216e-09,1.052584310224062e-08
2,0.019607844,74.99999985431886,-6.96448709855936e-09,7.935736137737446e-09
2,0.023529414,55.61922328915817,1.786142368725307e-07,9.968381143069064e-09
2,0.027450982,57.59606840168338,1.774454851373762e-07,8.845876455517445e-09
2,0.031372551,53.18588783916849,1.782531020903189e-07,7.685540055766218e-09
2,0.035294119,54.02264668592964,1.764724458215934e-07,7.977866118666823e-09
2,0.039215688,56.78973742841988,1.735370387669202e-07,7.749263238776609e-09
2,0.043137256,57.0922735434487,1.68334885672097e-07,7.314076917814814e-09
2,0.047058828,56.67397777461259,1.620978596976278e-07,7.439758538227966e-09
2,0.050980397,59.11651808930669,1.549493494213739e-07,7.491296168609359e-09
2,0.054901965,54.30720538935912,1.476245396588284e-07,7.344126143563947e-09
2,0.058823533,50.79000968260782,1.41069294079428e-07,6.824634399627571e-09
2,0.062745102,54.36544199322463,1.351574534185318e-07,6.347410416131687e-09
2,0.06666667,54.96230837870609,1.3075439448041e-07,6.421180626878331e-09
2,0.070588239,53.82494253568498,1.271587796646982e-07,5.931999209001817e-09
2,0.074509807,64,1.253451233301e-07,6.079801559407155e-09
2,0.078431375,65,1.24217707427125e-07,5.885157957545273e-09
2,0.082352944,69,1.24819566582825e-07,5.719321877420318e-09
2,0.086274512,61,1.277508410705e-07,5.6597353953682e-09
2,0.090196081,65,1.317857841132e-07,5.61267138852243e-09
2,0.094117656,56.21008786466645,1.370449853896524e-07,6.268993884098198e-09
2,0.098039225,58.8997287582726,1.448015557188087e-07,4.774303508974654e-09
2,0.10196079,57.02029073612242,1.521611175024503e-07,5.990044255618881e-09
2,0.10588236,54.0689662100135,1.608746597859078e-07,6.411116381115063e-09
2,0.10980393,52.53573168976035,1.716494952561237e-07,6.627359550387332e-09
2,0.1137255,53.79318954059887,1.839973128844388e-07,7.130723284653118e-09
2,0.11764707,50.52990291889157,1.987015863351371e-07,7.338705806379458e-09
2,0.12156864,52.57698397928368,2.147867493299967e-07,7.84507751899389e-09
2,0.1254902,52.68602321107574,2.330375660108956e-07,9.349030749551402e-09
2,0.12941177,55.21051709250703,2.536654271683016e-07,1.042366854315653e-08
2,0.13333334,50.43518553156602,2.766822689183757e-07,1.092839164604777e-08
2,0.13725491,53.34171153549667,3.016838922549083e-07,1.079877515448319e-08
2,0.14117648,54.30190245573336,3.277247771133648e-07,1.256577997961598e-08
2,0.14509805,55.58386271579054,3.568530860052378e-07,1.333576110343409e-08
2,0.14901961,53.00355235706487,3.881687851906898e-07,1.266775109162365e-08
2,0.15294118,57.22201474848704,4.216570040531609e-07,1.46702325788772e-08
2,0.15686275,55.01661944711181,4.585829385038359e-07,1.583858870824022e-08
2,0.16078432,58.90053958728726,4.978807528083004e-07,1.633668877193794e-08
2,0.16470589,56.24730713586565,5.38777405402163e-07,1.898018337784365e-08
2,0.16862746,57.79019850735615,5.835899369598361e-07,1.979329626107876e-08
2,0.17254902,54.27941104319279,6.293399024423824e-07,2.099922145944894e-08
2,0.17647059,59.18071125299253,6.772136702172806e-07,2.320156994685738e-08
2,0.18039216,55.20473922352131,7.287298798609904e-07,2.39100918231251e-08
2,0.18431373,54.26491896134433,7.84372705252201e-07,2.645166170572635e-08
2,0.18823531,57.12766225803452,8.40198318768997e-07,2.805726429619521e-08
2,0.19215688,56.09298165275235,9.026660243648796e-07,2.952791059890726e-08
2,0.19607845,56.72815558705796,9.633243057925422e-07,3.091595610819243e-08
