level_index,differential_level,group_index,sample_count,mean,std_dev,minimum,q01,q05,q25,median,q75,q95,q99,maximum
123,0.48235297,5,400,5.971327994984676e-06,1.2772375791145685e-07,5.607045e-06,5.67168123779993e-06,5.761265538239968e-06,5.887542442906124e-06,5.967025572317652e-06,6.058205713088682e-06,6.182637685014925e-06,6.256999536162766e-06,6.2825725e-06
123,0.48235297,6,400,5.881694078198052e-06,1.3130877110460157e-07,5.534678e-06,5.574369024543557e-06,5.674408748745919e-06,5.798159463665797e-06,5.879171794731519e-06,5.9736278217314975e-06,6.0863603493999104e-06,6.179189163049159e-06,6.294738e-06
123,0.48235297,7,400,5.779824534783984e-06,1.3457268053123553e-07,5.416296e-06,5.475639241012686e-06,5.567601670009026e-06,5.687593670700153e-06,5.778143304269179e-06,5.872645260751597e-06,6.005529280628253e-06,6.083066487008182e-06,6.107388e-06
123,0.48235297,8,400,5.537646781021977e-06,1.2797553599462266e-07,5.1237143e-06,5.224869187259173e-06,5.345592649064202e-06,5.45457157841156e-06,5.5353280004055705e-06,5.631118597193563e-06,5.7501803212289815e-06,5.795844949716411e-06,5.875513e-06
123,0.48235297,9,400,5.166502643305648e-06,1.1687112122559145e-07,4.8333873e-06,4.92144264626404e-06,4.9852280199047526e-06,5.092733431411034e-06,5.1560703013819875e-06,5.233308229435352e-06,5.353606798053079e-06,5.458873815769038e-06,5.6780805e-06
123,0.48235297,10,400,4.66529101231572e-06,1.0511400297981815e-07,4.377882e-06,4.431512343217036e-06,4.488528884394327e-06,4.5912902351119556e-06,4.670158659791923e-06,4.7430921767954715e-06,4.839080816054775e-06,4.884447007498238e-06,4.975323e-06
123,0.48235297,11,400,4.185562952443433e-06,9.975470463744017e-08,3.9187694e-06,3.967205689150433e-06,4.020606843369023e-06,4.122581344745413e-06,4.183588089290424e-06,4.249332391736971e-06,4.359234685580304e-06,4.426929526744061e-06,4.4834565e-06
123,0.48235297,12,400,3.5431233249028083e-06,8.916912502755938e-08,3.3124625e-06,3.3527596860949414e-06,3.410603483189334e-06,3.4827315857910435e-06,3.534071083777235e-06,3.5963918776360515e-06,3.690846301651618e-06,3.7978891373313673e-06,3.845777e-06
123,0.48235297,13,400,2.8941223263245774e-06,7.249257732502098e-08,2.6771668e-06,2.7278607740299777e-06,2.776130600068427e-06,2.84165952280091e-06,2.8961782163605676e-06,2.9429037340378272e-06,3.010879765952268e-06,3.0466769862869114e-06,3.1324225e-06
123,0.48235297,14,400,2.3560711474601704e-06,6.119440224742875e-08,2.1410776e-06,2.228432447282103e-06,2.256039294934453e-06,2.315717324563593e-06,2.353657237108564e-06,2.4007616730159498e-06,2.4569131028329138e-06,2.4928000902946224e-06,2.542867e-06
